"PV",,11.5836%,10.8434%,13.0159%,10.1299%,13.4680%
"MK",," "," "," "," "," "
"BL"
"RW","     Auto Loan / Car Loan with bank",66,21,34,33,33
"PV",,9.6774%,8.4337%,10.7937%,8.5714%,11.1111%
"MK",," "," "," "," "," "
"BL"
"RW","     Business Loan with bank",53,20,25,29,24
"PV",,7.7713%,8.0321%,7.9365%,7.5325%,8.0808%
"MK",," "," "," "," "," "
"BL"
"RW","     MicroBusiness/SME Loan with bank",50,18,24,26,24
"PV",,7.3314%,7.2289%,7.6190%,6.7532%,8.0808%
"MK",," "," "," "," "," "
"BL"
"RW","     Loan with bank",79,28,39,41,38
"PV",,11.5836%,11.2450%,12.3810%,10.6494%,12.7946%
"MK",," "," "," "," "," "
"BL"
"RW","     Personal Loan with bank",67,25,33,35,32
"PV",,9.8240%,10.0402%,10.4762%,9.0909%,10.7744%
"MK",," "," "," "," "," "
"BL"
"RW","     Salary Loan with bank",95,37,46,49,46
"PV",,13.9296%,14.8594%,14.6032%,12.7273%,15.4882%
"MK",," "," "," "," "," "
"BL"
"RW","     Credit card",110,30,62,49,61
"PV",,16.1290%,12.0482%,19.6825%,12.7273%,20.5387%
"MK",," "," "," BD"," "," BD"
"BL"
"RW","FROM NON-BANK SOURCES (NET)",408,155,174,240,168
"PV",,59.8240%,62.2490%,55.2381%,62.3377%,56.5657%
"MK",," "," "," "," "," "
"BL"
"RW","     Loan with Cooperative",120,43,52,70,50
"PV",,17.5953%,17.2691%,16.5079%,18.1818%,16.8350%
"MK",," "," "," "," "," "
"BL"
"RW","     Loan with Non-Stock Savings and Loan Association",33,14,16,17,16
"PV",,4.8387%,5.6225%,5.0794%,4.4156%,5.3872%
"MK",," "," "," "," "," "
"BL"
"RW","     Loan with Microfinance NGO",118,51,49,71,47
"PV",,17.3021%,20.4819%,15.5556%,18.4416%,15.8249%
"MK",," "," "," "," "," "
"BL"
"RW","     Loan with Gov't agencies (i.e. GSIS, SSS, Pag-ibig)",158,52,80,80,78
"PV",,23.1672%,20.8835%,25.3968%,20.7792%,26.2626%
"MK",," "," "," "," "," "
"BL"
"RW","     Loan from pawnshop/ pawning",75,27,36,39,36
"PV",,10.9971%,10.8434%,11.4286%,10.1299%,12.1212%
"MK",," "," "," "," "," "
"BL"
"RW","     Loan with lending institutions/Financing companies (e.g. Home Credit, etc) (SUBNET)",183,53,106,80,103
"PV",,26.8328%,21.2851%,33.6508%,20.7792%,34.6801%
"MK",," D"," "," AABAD"," "," AABAD"
"BL"
"RW","          Loan via Home Credit",153,44,91,65,88
"PV",,22.4340%,17.6707%,28.8889%,16.8831%,29.6296%
"MK",," D"," "," AABAD"," "," AABAD"
"BL"
"RW","          Online Loans",75,17,51,24,51
"PV",,10.9971%,6.8273%,16.1905%,6.2338%,17.1717%
"MK",," D"," "," AABAD"," "," AABAD"
"BL"
"RW","          Loans from e-wallet/mobile money/mobile bank/ e-remittance / any financial apps or websites",57,15,37,20,37
"PV",,8.3578%,6.0241%,11.7460%,5.1948%,12.4579%
"MK",," "," "," BD"," "," AABAD"
"BL"
"RW","     Multi-Purpose Loans from private companies (SUBNET)",70,21,40,32,38
"PV",,10.2639%,8.4337%,12.6984%,8.3117%,12.7946%
"MK",," "," "," "," "," "
"BL"
"RW","          Car Loan with Dealership's Financing Service",54,16,32,23,31
"PV",,7.9179%,6.4257%,10.1587%,5.9740%,10.4377%
"MK",," "," "," D"," "," D"
"BL"
"RW","          Housing Loan via Real Estate Developer In-house financing (not via bank)",63,19,38,27,36
"PV",,9.2375%,7.6305%,12.0635%,7.0130%,12.1212%
"MK",," "," "," D"," "," D"
"BL"
"RW","     INFORMAL LOANS (SUBNET)",338,129,136,206,132
"PV",,49.5601%,51.8072%,43.1746%,53.5065%,44.4444%
"MK",," "," C"," "," CE"," "
"BL"
"RW","          5-6 lending /Bombay/Turko",299,117,121,182,117
"PV",,43.8416%,46.9880%,38.4127%,47.2727%,39.3939%
"MK",," "," C"," "," CE"," "
"BL"
"RW","          Loan from relatives/family/friend/neighbor",211,79,83,129,82
"PV",,30.9384%,31.7269%,26.3492%,33.5065%,27.6094%
"MK",," "," "," "," C"," "
"BL"
"RW","          Loan from Sari-sari-store",159,50,65,96,63
"PV",,23.3138%,20.0803%,20.6349%,24.9351%,21.2121%
"MK",," "," "," "," "," "
"BL"
"RW","Other and NONE (NET)",252,87,127,137,115
"PV",,36.9501%,34.9398%,40.3175%,35.5844%,38.7205%
"MK",," "," "," "," "," "
"BL"
"RW","     Others",6,4,2,4,2
"PV",,0.8798%,1.6064%,0.6349%,1.0390%,0.6734%
"MK",," "," "," "," "," "
"BL"
"RW","     NONE",246,83,125,133,113
"PV",,36.0704%,33.3333%,39.6825%,34.5455%,38.0471%
"MK",," "," "," "," "," "
"BL"
"RW","Total count",2426,837,1182,1281,1145
"PV",,355.7185%,336.1446%,375.2381%,332.7273%,385.5219%
"MK",," "," "," "," "," "
"TE"
"TB","4"
"VT","QL1. AWARENESS - LOANS"
"HT","HEADER D. MACROREGION X SEC"
"BT","ALL RESPONDENTS"
"CH",,,"MMA",,,"NCL",,,"SL",,,"VISAYAS",,,"MINDANAO",,
"CL",,"TOTAL (a)","ABC1 (b)","C2 (c)","D (d)","ABC1 (b)","C2 (c)","D (d)","ABC1 (b)","C2 (c)","D (d)","ABC1 (b)","C2 (c)","D (d)","ABC1 (b)","C2 (c)","D (d)"
"RT","Total",682,12,35,33,12,44,96,15,46,75,18,52,87,10,56,87
"PV",,100.0000%,100.0000%,100.0000%,100.0000%,100.0000%,100.0000%,100.0000%,100.0000%,100.0000%,100.0000%,100.0000%,100.0000%,100.0000%,100.0000%,100.0000%,100.0000%
"BL"
"RW","FROM BANKS (NET)",192,5,13,8,4,11,27,8,11,17,6,12,12,6,27,24
"PV",,28.1525%,41.6667%,37.1429%,24.2424%,33.3333%,25.0000%,28.1250%,53.3333%,23.9130%,22.6667%,33.3333%,23.0769%,13.7931%,60.0000%,48.2143%,27.5862%
"MK",," D"," "," D"," "," "," "," D"," "," "," "," "," "," "," "," AADACDACDACDAD"," D"
"BL"
"RW","     Housing Loan / Mortgage with bank",79,5,8,4,2,5,5,1,3,1,2,4,6,4,15,14
"PV",,11.5836%,41.6667%,22.8571%,12.1212%,16.6667%,11.3636%,5.2083%,6.6667%,6.5217%,1.3333%,11.1111%,7.6923%,6.8966%,40.0000%,26.7857%,16.0920%
"MK",," D"," "," AAADACDACDA"," D"," "," D"," "," "," "," "," "," "," "," "," AAADACDACDA"," DD"
"BL"
"RW","     Auto Loan / Car Loan with bank",66,4,5,4,2,5,4,0,3,0,2,2,3,5,17,10
"PV",,9.6774%,33.3333%,14.2857%,12.1212%,16.6667%,11.3636%,4.1667%,0.0000%,6.5217%,0.0000%,11.1111%,3.8462%,3.4483%,50.0000%,30.3571%,11.4943%
"MK",," D"," "," DDD"," D"," "," D"," "," "," D"," "," "," "," "," "," AAACDACDACDAD"," DD"
"BL"
"RW","     Business Loan with bank",53,3,5,1,2,2,4,0,3,2,1,2,2,3,13,10
"PV",,7.7713%,25.0000%,14.2857%,3.0303%,16.6667%,4.5455%,4.1667%,0.0000%,6.5217%,2.6667%,5.5556%,3.8462%,2.2989%,30.0000%,23.2143%,11.4943%
"MK",," "," "," DDD"," "," "," "," "," "," "," "," "," "," "," "," AADACDACDACDA"," DD"
"BL"
"RW","     MicroBusiness/SME Loan with bank",50,3,3,0,0,2,5,1,2,4,1,1,5,3,12,8
"PV",,7.3314%,25.0000%,8.5714%,0.0000%,0.0000%,4.5455%,5.2083%,6.6667%,4.3478%,5.3333%,5.5556%,1.9231%,5.7471%,30.0000%,21.4286%,9.1954%
"MK",," "," "," "," "," "," "," "," "," "," "," "," "," "," "," AADACDACDACDAD"," "
"BL"
"RW","     Loan with bank",79,4,6,2,3,4,8,2,4,4,1,4,5,3,16,12
"PV",,11.5836%,33.3333%,17.1429%,6.0606%,25.0000%,9.0909%,8.3333%,13.3333%,8.6957%,5.3333%,5.5556%,7.6923%,5.7471%,30.0000%,28.5714%,13.7931%
"MK",," "," "," DD"," "," "," "," "," "," "," "," "," "," "," "," AADACDACDACDAD"," "
"BL"
"RW","     Personal Loan with bank",67,4,5,2,3,2,1,1,4,1,5,3,3,4,15,13
"PV",,9.8240%,33.3333%,14.2857%,6.0606%,25.0000%,4.5455%,1.0417%,6.6667%,8.6957%,1.3333%,27.7778%,5.7692%,3.4483%,40.0000%,26.7857%,14.9425%
"MK",," DD"," "," DDD"," "," "," "," "," "," DD"," "," "," "," "," "," AADACDACDACDA"," DDD"
"BL"
"RW","     Salary Loan with bank",95,4,9,4,3,5,11,3,5,2,3,5,7,3,15,16
"PV",,13.9296%,33.3333%,25.7143%,12.1212%,25.0000%,11.3636%,11.4583%,20.0000%,10.8696%,2.6667%,16.6667%,9.6154%,8.0460%,30.0000%,26.7857%,18.3908%
"MK",," D"," "," DDCD"," D"," "," "," D"," "," "," "," "," "," "," "," AAADACDACDA"," DD"
"BL"
"RW","     Credit card",110,4,11,6,1,8,14,3,4,8,2,6,4,5,18,15
"PV",,16.1290%,33.3333%,31.4286%,18.1818%,8.3333%,18.1818%,14.5833%,20.0000%,8.6957%,10.6667%,11.1111%,11.5385%,4.5977%,50.0000%,32.1429%,17.2414%
"MK",," D"," "," AAADACDACDA"," D"," "," D"," D"," "," "," "," "," "," "," "," AAADACDACDAD"," D"
"BL"
"RW","FROM NON-BANK SOURCES (NET)",408,6,23,16,8,25,69,6,23,42,7,24,40,8,43,64
"PV",,59.8240%,50.0000%,65.7143%,48.4848%,66.6667%,56.8182%,71.8750%,40.0000%,50.0000%,56.0000%,38.8889%,46.1538%,45.9770%,80.0000%,76.7857%,73.5632%
"MK",," D"," "," D"," "," "," "," AADAACDACDA"," "," "," "," "," "," "," "," AADACACDACDA"," AADAACDACDA"
"BL"
"RW","     Loan with Cooperative",120,2,5,3,3,6,19,2,4,5,5,5,9,3,21,27
"PV",,17.5953%,16.6667%,14.2857%,9.0909%,25.0000%,13.6364%,19.7917%,13.3333%,8.6957%,6.6667%,27.7778%,9.6154%,10.3448%,30.0000%,37.5000%,31.0345%
"MK",," D"," "," "," "," "," "," D"," "," "," "," "," "," "," "," AACDACDACDACDA"," AADACACDACDA"
"BL"
"RW","     Loan with Non-Stock Savings and Loan Association",33,3,3,1,0,1,0,0,1,0,1,1,1,1,12,8
"PV",,4.8387%,25.0000%,8.5714%,3.0303%,0.0000%,2.2727%,0.0000%,0.0000%,2.1739%,0.0000%,5.5556%,1.9231%,1.1494%,10.0000%,21.4286%,9.1954%
"MK",," D"," "," DDD"," "," "," "," "," "," "," "," "," "," "," "," AADACDACDACDAD"," DDD"
"BL"
"RW","     Loan with Microfinance NGO",118,2,4,1,2,9,21,1,6,14,3,6,15,3,19,12
"PV",,17.3021%,16.6667%,11.4286%,3.0303%,16.6667%,20.4545%,21.8750%,6.6667%,13.0435%,18.6667%,16.6667%,11.5385%,17.2414%,30.0000%,33.9286%,13.7931%
"MK",," D"," "," "," "," "," D"," D"," "," "," D"," "," "," D"," "," AACDAACDACDAD"," "
"BL"
"RW","     Loan with Gov't agencies (i.e. GSIS, SSS, Pag-ibig)",158,4,13,8,6,11,31,3,4,8,3,6,12,3,22,22
"PV",,23.1672%,33.3333%,37.1429%,24.2424%,50.0000%,25.0000%,32.2917%,20.0000%,8.6957%,10.6667%,16.6667%,11.5385%,13.7931%,30.0000%,39.2857%,25.2874%
"MK",," CDD"," "," CDCD"," "," "," CD"," CDCD"," "," "," "," "," "," "," "," AAAACDACDA"," CD"
"BL"
"RW","     Loan from pawnshop/ pawning",75,4,6,5,0,5,4,0,3,1,2,1,4,4,15,20
"PV",,10.9971%,33.3333%,17.1429%,15.1515%,0.0000%,11.3636%,4.1667%,0.0000%,6.5217%,1.3333%,11.1111%,1.9231%,4.5977%,40.0000%,26.7857%,22.9885%
"MK",," DDC"," "," DDCD"," DDC"," "," D"," "," "," "," "," "," "," "," "," AAADACDACDA"," AAADACDACDA"
"BL"
"RW","     Loan with lending institutions/Financing companies (e.g. Home Credit, etc) (SUBNET)",183,5,14,7,1,13,17,2,11,11,3,8,10,7,32,41
"PV",,26.8328%,41.6667%,40.0000%,21.2121%,8.3333%,29.5455%,17.7083%,13.3333%,23.9130%,14.6667%,16.6667%,15.3846%,11.4943%,70.0000%,57.1429%,47.1264%
"MK",," DD"," "," DDCD"," "," "," D"," "," "," "," "," "," "," "," "," AADACDACDACDA"," AADADACDACDA"
"BL"
"RW","          Loan via Home Credit",153,3,11,5,1,11,14,1,8,8,3,8,6,6,29,38
"PV",,22.4340%,25.0000%,31.4286%,15.1515%,8.3333%,25.0000%,14.5833%,6.6667%,17.3913%,10.6667%,16.6667%,15.3846%,6.8966%,60.0000%,51.7857%,43.6782%
"MK",," DD"," "," DDD"," "," "," DD"," "," "," "," "," "," "," "," "," AADACDACDACDA"," AADACDACDACDA"
"BL"
"RW","          Online Loans",75,4,10,4,0,4,6,0,6,4,1,2,3,3,18,10
"PV",,10.9971%,33.3333%,28.5714%,12.1212%,0.0000%,9.0909%,6.2500%,0.0000%,13.0435%,5.3333%,5.5556%,3.8462%,3.4483%,30.0000%,32.1429%,11.4943%
"MK",," D"," "," AAACDADACDAD"," "," "," "," "," "," D"," "," "," "," "," "," AADACDACDACDAD"," D"
"BL"
"RW","          Loans from e-wallet/mobile money/mobile bank/ e-remittance / any financial apps or websites",57,4,7,2,0,4,2,1,2,0,1,0,4,3,14,12
"PV",,8.3578%,33.3333%,20.0000%,6.0606%,0.0000%,9.0909%,2.0833%,6.6667%,4.3478%,0.0000%,5.5556%,0.0000%,4.5977%,30.0000%,25.0000%,13.7931%
"MK",," DDC"," "," AAADACDACDA"," D"," "," DC"," "," "," "," "," "," "," "," "," AADACDACDACDA"," DDCD"
"BL"
"RW","     Multi-Purpose Loans from private companies (SUBNET)",70,4,9,3,1,5,3,1,1,2,4,2,4,4,17,10
"PV",,10.2639%,33.3333%,25.7143%,9.0909%,8.3333%,11.3636%,3.1250%,6.6667%,2.1739%,2.6667%,22.2222%,3.8462%,4.5977%,40.0000%,30.3571%,11.4943%
"MK",," DD"," "," AAADACDACDA"," "," "," "," "," "," "," "," "," "," "," "," AADACDACDACDAD"," DD"
"BL"
"RW","          Car Loan with Dealership's Financing Service",54,2,7,3,1,3,0,0,1,2,3,2,2,4,15,9
"PV",,7.9179%,16.6667%,20.0000%,9.0909%,8.3333%,6.8182%,0.0000%,0.0000%,2.1739%,2.6667%,16.6667%,3.8462%,2.2989%,40.0000%,26.7857%,10.3448%
"MK",," D"," "," AAADACDACDA"," D"," "," D"," "," "," "," "," "," "," "," "," AADACDACDACDAD"," DD"
"BL"
"RW","          Housing Loan via Real Estate Developer In-house financing (not via bank)",63,4,8,2,0,4,3,1,1,2,3,2,3,4,17,9
"PV",,9.2375%,33.3333%,22.8571%,6.0606%,0.0000%,9.0909%,3.1250%,6.6667%,2.1739%,2.6667%,16.6667%,3.8462%,3.4483%,40.0000%,30.3571%,10.3448%
"MK",," D"," "," AAADACDACDA"," "," "," "," "," "," "," "," "," "," "," "," AADACDACDACDAD"," D"
"BL"
"RW","     INFORMAL LOANS (SUBNET)",338,4,20,13,5,22,65,2,12,29,5,23,37,5,37,55
"PV",,49.5601%,33.3333%,57.1429%,39.3939%,41.6667%,50.0000%,67.7083%,13.3333%,26.0870%,38.6667%,27.7778%,44.2308%,42.5287%,50.0000%,66.0714%,63.2184%
"MK",," C"," "," C"," "," "," C"," AADACACDACDA"," "," "," "," "," "," "," "," AADAACDACDA"," AADAACDACDA"
"BL"
"RW","          5-6 lending /Bombay/Turko",299,4,19,11,5,21,62,2,9,24,4,15,24,5,36,55
"PV",,43.8416%,33.3333%,54.2857%,33.3333%,41.6667%,47.7273%,64.5833%,13.3333%,19.5652%,32.0000%,22.2222%,28.8462%,27.5862%,50.0000%,64.2857%,63.2184%
"MK",," CDCD"," "," CDCD"," "," "," CD"," AADAACDACDA"," "," "," "," "," "," "," "," AADAACDACDA"," AADAACDACDA"
"BL"
"RW","          Loan from relatives/family/friend/neighbor",211,3,11,8,3,11,28,1,9,16,4,21,32,4,24,34
"PV",,30.9384%,25.0000%,31.4286%,24.2424%,25.0000%,25.0000%,29.1667%,6.6667%,19.5652%,21.3333%,22.2222%,40.3846%,36.7816%,40.0000%,42.8571%,39.0805%
"MK",," "," "," "," "," "," "," "," "," "," "," "," CD"," CD"," "," CD"," CD"
"BL"
"RW","          Loan from Sari-sari-store",159,3,9,6,1,8,20,0,8,16,2,14,23,4,20,22
"PV",,23.3138%,25.0000%,25.7143%,18.1818%,8.3333%,18.1818%,20.8333%,0.0000%,17.3913%,21.3333%,11.1111%,26.9231%,26.4368%,40.0000%,35.7143%,25.2874%
"MK",," "," "," "," "," "," "," "," "," "," "," "," "," "," "," AAADACAA"," "
"BL"
"RW","Other and NONE (NET)",252,5,12,15,4,19,25,5,20,27,10,28,47,2,11,22
"PV",,36.9501%,41.6667%,34.2857%,45.4545%,33.3333%,43.1818%,26.0417%,33.3333%,43.4783%,36.0000%,55.5556%,53.8462%,54.0230%,20.0000%,19.6429%,25.2874%
"MK",," DCD"," "," "," DCD"," "," DCD"," "," "," DCD"," C"," "," AAADADAACD"," AACADADAACD"," "," "," "
"BL"
"RW","     Others",6,0,0,0,0,0,0,0,2,2,0,1,0,0,0,1
"PV",,0.8798%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,4.3478%,2.6667%,0.0000%,1.9231%,0.0000%,0.0000%,0.0000%,1.1494%
"MK",," "," "," "," "," "," "," "," "," AAADAAA"," "," "," "," "," "," "," "
"BL"
"RW","     NONE",246,5,12,15,4,19,25,5,18,25,10,27,47,2,11,21
"PV",,36.0704%,41.6667%,34.2857%,45.4545%,33.3333%,43.1818%,26.0417%,33.3333%,39.1304%,33.3333%,55.5556%,51.9231%,54.0230%,20.0000%,19.6429%,24.1379%
"MK",," CD"," "," "," DCD"," "," DCD"," "," "," C"," "," "," AAADADAACD"," AACADADAACD"," "," "," "
"BL"
"RW","Total count",2426,78,177,97,42,150,287,28,110,149,62,138,220,79,394,398
"PV",,355.7185%,650.0000%,505.7143%,293.9394%,350.0000%,340.9091%,298.9583%,186.6667%,239.1304%,198.6667%,344.4444%,265.3846%,252.8736%,790.0000%,703.5714%,457.4713%
"MK",," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"TE"
"TB","5"
"VT","QL2. USAGE OF LOAN PRODUCTS AND SERVICES"
"HT","HEADER A. GENERAL PROFILE"
"BT","ALL RESPONDENTS"
"CH",,,"GENDER",,"LIFESTAGE",,,,"SEC",,,,
"CL",,"TOTAL (a)","MALE (b)","FEMALE (c)","Yuppies (21-30 yo) (e)","Transitioners (31-35 yo) (f)","Balancers (36-45 yo) (g)","Older Adults/Retirees (46-65 yo) (h)","AB (i)","C1 (j)","ABC1 (k)","C2 (l)","D (m)"
"RT","Total",682,313,369,247,93,160,182,30,37,67,233,378
"PV",,100.0000%,100.0000%,100.0000%,100.0000%,100.0000%,100.0000%,100.0000%,100.0000%,100.0000%,100.0000%,100.0000%,100.0000%
"BL"
"RW","FROM BANKS (NET)",11,4,7,0,4,3,4,1,3,4,4,3
"PV",,1.6129%,1.2780%,1.8970%,0.0000%,4.3011%,1.8750%,2.1978%,3.3333%,8.1081%,5.9701%,1.7167%,0.7937%
"MK",," E"," "," E"," "," EM"," E"," E"," E"," AABCAEGALM"," AABAEAM"," E"," "
"BL"
"RW","     Housing Loan / Mortgage with bank",1,0,1,0,0,1,0,1,0,1,0,0
"PV",,0.1466%,0.0000%,0.2710%,0.0000%,0.0000%,0.6250%,0.0000%,3.3333%,0.0000%,1.4925%,0.0000%,0.0000%
"MK",," "," "," "," "," "," "," "," AABCAEHALM"," "," AABAAM"," "," "
"BL"
"RW","     Business Loan with bank",2,0,2,0,1,1,0,0,0,0,2,0
"PV",,0.2933%,0.0000%,0.5420%,0.0000%,1.0753%,0.6250%,0.0000%,0.0000%,0.0000%,0.0000%,0.8584%,0.0000%
"MK",," "," "," "," "," M"," "," "," "," "," "," "," "
"BL"
"RW","     MicroBusiness/SME Loan with bank",6,2,4,0,0,2,4,0,1,1,2,3
"PV",,0.8798%,0.6390%,1.0840%,0.0000%,0.0000%,1.2500%,2.1978%,0.0000%,2.7027%,1.4925%,0.8584%,0.7937%
"MK",," "," "," "," "," "," "," E"," "," E"," "," "," "
"BL"
"RW","     Salary Loan with bank",2,1,1,0,2,0,0,0,2,2,0,0
"PV",,0.2933%,0.3195%,0.2710%,0.0000%,2.1505%,0.0000%,0.0000%,0.0000%,5.4054%,2.9851%,0.0000%,0.0000%
"MK",," "," "," "," "," AACAEHALM"," "," "," "," AABCAEGHALM"," AABCAEGHALM"," "," "
"BL"
"RW","     Credit card",1,1,0,0,1,0,0,0,0,0,1,0
"PV",,0.1466%,0.3195%,0.0000%,0.0000%,1.0753%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.4292%,0.0000%
"MK",," "," "," "," "," CM"," "," "," "," "," "," "," "
"BL"
"RW","FROM NON-BANK SOURCES (NET)",111,43,68,32,13,34,32,6,5,11,40,60
"PV",,16.2757%,13.7380%,18.4282%,12.9555%,13.9785%,21.2500%,17.5824%,20.0000%,13.5135%,16.4179%,17.1674%,15.8730%
"MK",," "," "," "," "," "," BE"," "," "," "," "," "," "
"BL"
"RW","     Loan with Cooperative",16,6,10,2,3,3,8,2,2,4,7,5
"PV",,2.3460%,1.9169%,2.7100%,0.8097%,3.2258%,1.8750%,4.3956%,6.6667%,5.4054%,5.9701%,3.0043%,1.3228%
"MK",," "," "," "," "," "," "," EM"," EM"," E"," EM"," "," "
"BL"
"RW","     Loan with Microfinance NGO",17,6,11,3,1,7,6,0,0,0,8,9
"PV",,2.4927%,1.9169%,2.9810%,1.2146%,1.0753%,4.3750%,3.2967%,0.0000%,0.0000%,0.0000%,3.4335%,2.3810%
"MK",," "," "," "," "," "," E"," "," "," "," "," "," "
"BL"
"RW","     Loan with Gov't agencies (i.e. GSIS, SSS, Pag-ibig)",8,3,5,1,0,3,4,2,1,3,3,2
"PV",,1.1730%,0.9585%,1.3550%,0.4049%,0.0000%,1.8750%,2.1978%,6.6667%,2.7027%,4.4776%,1.2876%,0.5291%
"MK",," "," "," "," "," "," "," "," AABCAEFALM"," "," AABAEFAM"," "," "
"BL"
"RW","     Loan from pawnshop/ pawning",1,0,1,0,1,0,0,0,1,1,0,0
"PV",,0.1466%,0.0000%,0.2710%,0.0000%,1.0753%,0.0000%,0.0000%,0.0000%,2.7027%,1.4925%,0.0000%,0.0000%
"MK",," "," "," "," "," M"," "," "," "," AABCAEGHALM"," AABAAM"," "," "
"BL"
"RW","     Loan with lending institutions/Financing companies (e.g. Home Credit, etc) (SUBNET)",20,10,10,8,3,6,3,1,1,2,11,7
"PV",,2.9326%,3.1949%,2.7100%,3.2389%,3.2258%,3.7500%,1.6484%,3.3333%,2.7027%,2.9851%,4.7210%,1.8519%
"MK",," "," "," "," "," "," "," "," "," "," "," M"," "
"BL"
"RW","          Loan via Home Credit",12,8,4,4,3,3,2,0,0,0,8,4
"PV",,1.7595%,2.5559%,1.0840%,1.6194%,3.2258%,1.8750%,1.0989%,0.0000%,0.0000%,0.0000%,3.4335%,1.0582%
"MK",," "," "," "," "," "," "," "," "," "," "," CM"," "
"BL"
"RW","          Online Loans",5,1,4,2,0,2,1,0,0,0,2,3
"PV",,0.7331%,0.3195%,1.0840%,0.8097%,0.0000%,1.2500%,0.5495%,0.0000%,0.0000%,0.0000%,0.8584%,0.7937%
"MK",," "," "," "," "," "," "," "," "," "," "," "," "
"BL"
"RW","          Loans from e-wallet/mobile money/mobile bank/ e-remittance / any financial apps or websites",3,1,2,2,0,1,0,1,1,2,1,0
"PV",,0.4399%,0.3195%,0.5420%,0.8097%,0.0000%,0.6250%,0.0000%,3.3333%,2.7027%,2.9851%,0.4292%,0.0000%
"MK",," "," "," "," "," "," "," "," AABAHAM"," HM"," AABAHAM"," "," "
"BL"
"RW","     Multi-Purpose Loans from private companies (SUBNET)",1,0,1,1,0,0,0,0,0,0,1,0
"PV",,0.1466%,0.0000%,0.2710%,0.4049%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.4292%,0.0000%
"MK",," "," "," "," "," "," "," "," "," "," "," "," "
"BL"
"RW","          Housing Loan via Real Estate Developer In-house financing (not via bank)",1,0,1,1,0,0,0,0,0,0,1,0
"PV",,0.1466%,0.0000%,0.2710%,0.4049%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.4292%,0.0000%
"MK",," "," "," "," "," "," "," "," "," "," "," "," "
"BL"
"RW","     INFORMAL LOANS (SUBNET)",59,24,35,20,6,20,13,1,0,1,17,41
"PV",,8.6510%,7.6677%,9.4851%,8.0972%,6.4516%,12.5000%,7.1429%,3.3333%,0.0000%,1.4925%,7.2961%,10.8466%
"MK",," K"," "," K"," "," "," JK"," "," "," "," "," "," JK"
"BL"
"RW","          5-6 lending /Bombay/Turko",20,4,16,4,0,10,6,0,0,0,7,13
"PV",,2.9326%,1.2780%,4.3360%,1.6194%,0.0000%,6.2500%,3.2967%,0.0000%,0.0000%,0.0000%,3.0043%,3.4392%
"MK",," "," "," BF"," "," "," AABAEFAK"," "," "," "," "," "," "
"BL"
"RW","          Loan from relatives/family/friend/neighbor",33,18,15,13,5,8,7,1,0,1,11,21
"PV",,4.8387%,5.7508%,4.0650%,5.2632%,5.3763%,5.0000%,3.8462%,3.3333%,0.0000%,1.4925%,4.7210%,5.5556%
"MK",," "," "," "," "," "," "," "," "," "," "," "," "
"BL"
"RW","          Loan from Sari-sari-store",17,8,9,8,1,8,0,0,0,0,3,14
"PV",,2.4927%,2.5559%,2.4390%,3.2389%,1.0753%,5.0000%,0.0000%,0.0000%,0.0000%,0.0000%,1.2876%,3.7037%
"MK",," H"," H"," H"," H"," "," HL"," "," "," "," "," "," H"
"BL"
"RW","Other and NONE (NET)",564,268,296,216,78,123,147,23,30,53,190,317
"PV",,82.6979%,85.6230%,80.2168%,87.4494%,83.8710%,76.8750%,80.7692%,76.6667%,81.0811%,79.1045%,81.5451%,83.8624%
"MK",," "," G"," "," CG"," "," "," "," "," "," "," "," "
"BL"
"RW","     Others",16,5,11,2,2,1,11,0,1,1,1,14
"PV",,2.3460%,1.5974%,2.9810%,0.8097%,2.1505%,0.6250%,6.0440%,0.0000%,2.7027%,1.4925%,0.4292%,3.7037%
"MK",," "," "," L"," "," "," "," AABAEGAL"," "," "," "," "," EGL"
"BL"
"RW","     NONE",548,263,285,214,76,122,136,23,29,52,189,303
"PV",,80.3519%,84.0256%,77.2358%,86.6397%,81.7204%,76.2500%,74.7253%,76.6667%,78.3784%,77.6119%,81.1159%,80.1587%
"MK",," "," CGH"," "," AACAGHAM"," "," "," "," "," "," "," "," "
"BL"
"RW","Total count",709,327,382,256,96,172,185,30,38,68,246,391
"PV",,103.9589%,104.4728%,103.5230%,103.6437%,103.2258%,107.5000%,101.6484%,100.0000%,102.7027%,101.4925%,105.5794%,103.4392%
"MK",," "," "," "," "," "," "," "," "," "," "," "," "
"TE"
"TB","6"
"VT","QL2. USAGE OF LOAN PRODUCTS AND SERVICES"
"HT","HEADER B. LOCALE AND MACROREGION"
"BT","ALL RESPONDENTS"
"CH",,,"LOCALE",,,"NORTH CENTRAL LUZON",,,"SOUTH LUZON",,,"VISAYAS",,,"MINDANAO",,
